FRX Sample,Site,Site 2,Total,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,Cluster
TETEL05,Tetel,Archaeological,1,423,10044,84,23,16,182,6,50,212,47,2
TETEL06,Tetel,Archaeological,1,726,14607,134,31,29,248,5,64,246,52,2
TETEL08,Tetel,Archaeological,1,356,8780,65,20,16,161,6,48,204,42,2
TETEL10,Tetel,Archaeological,1,576,13330,107,30,26,235,6,63,282,53,2
TETEL11,Tetel,Archaeological,1,624,13621,91,25,26,233,4,66,256,53,2
TETEL12,Tetel,Archaeological,1,422,9730,56,20,19,177,6,49,210,40,2
TETEL13,Tetel,Archaeological,1,400,9763,53,20,14,169,3,50,209,39,2
TETEL14,Tetel,Archaeological,1,383,9385,52,22,16,160,4,52,205,43,2
TETEL15,Tetel,Archaeological,1,391,9722,63,23,18,180,5,52,214,44,2
TETEL16,Tetel,Archaeological,1,508,10229,57,20,18,178,4,54,213,43,2
TETEL17,Tetel,Archaeological,1,402,11347,66,20,21,189,6,59,221,46,2
TETEL18,Tetel,Archaeological,1,503,10338,81,21,21,187,5,50,225,47,2
TETEL19,Tetel,Archaeological,1,467,9626,67,21,18,165,5,53,201,44,2
TETEL20,Tetel,Archaeological,1,460,9294,67,23,15,165,4,49,217,43,2
TETEL21,Tetel,Archaeological,1,385,9064,45,20,20,194,11,49,199,41,2
TETEL23,Tetel,Archaeological,1,375,9760,69,22,18,166,5,54,212,41,2
TETEL24,Tetel,Archaeological,1,392,9400,61,19,18,165,6,49,205,41,2
TETEL26,Tetel,Archaeological,1,372,9747,58,22,13,168,4,51,210,42,2
TETEL27,Tetel,Archaeological,1,334,9662,62,18,14,164,7,50,211,42,2
TETEL28,Tetel,Archaeological,1,400,11240,65,24,20,198,6,59,230,45,2
TETEL29,Tetel,Archaeological,1,472,9726,52,22,14,173,2,54,204,42,2
TETEL30,Tetel,Archaeological,1,403,10294,67,22,19,182,2,57,215,44,2
TETEL31,Tetel,Archaeological,1,348,9841,53,23,17,174,7,55,224,42,2
TETEL32,Tetel,Archaeological,1,480,9610,61,20,15,166,5,52,205,42,2
TETEL33,Tetel,Archaeological,1,473,10507,65,23,20,186,4,57,216,46,2
TETEL34,Tetel,Archaeological,1,421,10028,67,21,17,175,4,55,208,44,2
TETEL35,Tetel,Archaeological,1,352,9004,66,21,17,167,4,50,196,40,2
TETEL37,Tetel,Archaeological,1,366,9647,49,20,18,165,3,50,216,44,2
TETEL39,Tetel,Archaeological,1,460,11101,69,23,20,188,6,54,223,44,2
TETEL40,Tetel,Archaeological,1,638,10446,54,20,19,187,11,52,219,43,2
TETEL44,Tetel,Archaeological,1,385,10873,67,24,14,169,6,54,212,41,2
TETEL45,Tetel,Archaeological,1,357,9797,59,20,17,173,5,49,209,40,2
TETEL46,Tetel,Archaeological,1,506,10259,70,23,17,185,4,51,219,47,2
TETEL47,Tetel,Archaeological,1,426,9305,63,20,15,167,4,54,204,40,2
TETEL48,Tetel,Archaeological,1,494,9926,64,21,16,173,5,53,214,44,2
TETEL49,Tetel,Archaeological,1,262,9198,62,21,14,170,5,48,199,43,2
TETEL50,Tetel,Archaeological,1,447,9055,57,17,14,176,5,49,210,41,2
TETEL51,Tetel,Archaeological,1,455,9580,56,20,20,173,5,51,207,41,2
TETEL52,Tetel,Archaeological,1,476,9942,51,24,18,185,2,53,228,44,2
TETEL53,Tetel,Archaeological,1,464,10835,50,20,19,196,4,56,226,46,2
TETEL54,Tetel,Archaeological,1,477,10216,79,23,13,196,5,50,218,48,2
TETEL55,Tetel,Archaeological,1,562,11749,74,26,19,213,5,57,230,48,2
TETEL56,Tetel,Archaeological,1,347,10081,63,23,17,185,5,52,216,44,2
TETEL57,Tetel,Archaeological,1,398,9123,50,20,17,168,4,51,202,43,2
TETEL58,Tetel,Archaeological,1,439,9507,61,23,21,175,5,50,199,45,2
TETEL59,Tetel,Archaeological,1,292,8725,53,16,21,161,4,46,196,37,2
TETEL60,Tetel,Archaeological,1,364,9660,67,17,21,176,7,50,204,46,2
TETEL61,Tetel,Archaeological,1,437,10187,51,23,17,181,4,49,212,44,2
TETEL64,Tetel,Archaeological,1,440,9532,47,16,20,169,5,49,208,42,2
TETEL65,Tetel,Archaeological,1,430,8902,60,18,17,163,4,48,195,39,2
TETEL66,Tetel,Archaeological,1,333,9589,61,22,20,181,7,50,213,45,2
TETEL67,Tetel,Archaeological,1,453,9468,61,21,20,165,5,51,208,42,2
TETEL68,Tetel,Archaeological,1,406,9770,65,20,15,182,3,52,213,40,2
TETEL69,Tetel,Archaeological,1,474,11613,75,26,19,189,4,55,224,44,2
TETEL70,Tetel,Archaeological,1,363,11179,66,24,24,204,4,57,235,48,2
TETEL71,Tetel,Archaeological,1,451,10030,65,18,21,180,6,57,221,43,2
TETEL72,Tetel,Archaeological,1,391,10621,69,21,16,188,5,54,212,46,2
TETEL73,Tetel,Archaeological,1,509,10571,80,22,18,196,5,53,232,46,2
TETEL74,Tetel,Archaeological,1,439,10841,64,23,21,186,6,54,220,46,2
TETEL75,Tetel,Archaeological,1,369,9827,64,23,19,175,6,52,220,45,2
TETEL76,Tetel,Archaeological,1,481,9555,65,26,21,174,5,50,217,43,2
TETEL78,Tetel,Archaeological,1,297,9411,61,23,21,170,6,45,204,40,2
TETEL79,Tetel,Archaeological,1,360,9219,60,21,20,172,5,50,193,38,2
TETEL80,Tetel,Archaeological,1,300,9188,52,17,15,155,5,49,187,41,2
TETEL81,Tetel,Archaeological,1,435,9154,51,19,22,164,3,49,197,43,2
TETEL82,Tetel,Archaeological,1,423,9824,66,22,21,171,3,54,214,43,2
TETEL83,Tetel,Archaeological,1,344,9742,63,23,17,176,5,46,200,41,2
TETEL84,Tetel,Archaeological,1,376,9638,67,21,15,165,3,52,197,42,2
TETEL85,Tetel,Archaeological,1,428,10416,63,28,16,182,4,53,214,42,2
TETEL86,Tetel,Archaeological,1,456,10728,47,25,19,181,4,54,226,46,2
TETEL87,Tetel,Archaeological,1,422,9180,65,18,18,160,6,50,200,41,2
TETEL88,Tetel,Archaeological,1,511,10983,71,25,22,194,5,60,224,48,2
TETEL89,Tetel,Archaeological,1,470,9702,72,23,21,179,5,51,203,42,2
TETEL90,Tetel,Archaeological,1,396,9329,73,22,18,173,3,48,206,40,2
TETEL91,Tetel,Archaeological,1,480,9290,69,17,17,167,3,50,203,41,2
TETEL92,Tetel,Archaeological,1,478,9375,59,20,15,171,4,50,206,45,2
TETEL93,Tetel,Archaeological,1,479,9250,67,20,18,163,5,48,194,41,2
TETEL94,Tetel,Archaeological,1,456,9884,63,21,15,177,6,48,203,43,2
TETEL95,Tetel,Archaeological,1,482,9494,59,20,18,168,5,53,204,45,2
TETEL98,Tetel,Archaeological,1,485,11073,60,29,16,187,5,53,221,44,2
TETEL99,Tetel,Archaeological,1,387,9256,61,19,19,161,7,50,192,42,2
TETEL100,Tetel,Archaeological,1,348,9265,60,18,16,165,4,49,203,42,2
TETEL101,Tetel,Archaeological,1,410,9164,58,22,19,173,3,49,214,42,2
TETEL102,Tetel,Archaeological,1,426,9473,41,18,16,167,3,50,202,42,2
TETEL103,Tetel,Archaeological,1,432,9588,56,23,20,172,5,53,211,40,2
TETEL104,Tetel,Archaeological,1,439,9711,62,25,16,176,6,49,211,40,2
TETEL105,Tetel,Archaeological,1,427,9231,53,18,16,164,3,48,196,40,2
TETEL106,Tetel,Archaeological,1,437,9479,68,22,19,178,6,53,201,43,2
TETEL108,Tetel,Archaeological,1,370,9537,51,20,18,166,6,46,194,40,2
TETEL109,Tetel,Archaeological,1,410,11080,72,24,18,195,6,55,224,47,2
TETEL111,Tetel,Archaeological,1,380,8775,55,20,15,179,6,50,194,39,2
TETEL112,Tetel,Archaeological,1,370,10144,69,23,19,185,5,50,214,43,2
TETEL113,Tetel,Archaeological,1,422,9956,55,21,15,173,5,55,214,43,2
TETEL114,Tetel,Archaeological,1,483,14697,81,30,28,227,8,64,238,52,2
TETEL115,Tetel,Archaeological,1,367,10344,58,20,18,178,4,54,221,43,2
TETEL117,Tetel,Archaeological,1,359,9006,49,20,17,163,4,49,201,37,2
TETEL118,Tetel,Archaeological,1,402,10182,67,27,18,180,4,51,210,43,2
TETEL120,Tetel,Archaeological,1,308,9499,52,20,18,161,5,50,208,44,2
NAT66,Xochitecatl,Archaeological,1,270,8926,62,20,16,163,3,48,190,36,2
NAT88,Xochitecatl,Archaeological,1,254,9456,58,33,16,178,6,50,215,46,2
NAT95,Xochitecatl,Archaeological,1,447,9143,53,25,18,167,3,49,206,41,2
NAT96,Xochitecatl,Archaeological,1,342,8997,54,27,18,174,5,51,212,45,2
NAT98,Xochitecatl,Archaeological,1,334,8466,49,27,16,171,5,46,193,41,2
NAT111,Xochitecatl,Archaeological,1,463,10620,62,31,17,196,4,59,218,44,2
x01_03,Xochitecatl,Archaeological,1,370,8702,49,25,17,155,3,49,198,41,2
x01_04,Xochitecatl,Archaeological,1,302,8265,39,20,17,149,4,42,193,38,2
x01_05,Xochitecatl,Archaeological,1,366,10026,81,34,20,181,4,48,207,43,2
x01_09,Xochitecatl,Archaeological,1,361,8878,59,25,12,170,4,49,203,43,2
x01_10,Xochitecatl,Archaeological,1,413,8647,44,25,17,152,5,47,188,38,2
x01_12,Xochitecatl,Archaeological,1,376,8730,74,21,14,170,3,50,198,41,2
x01_13,Xochitecatl,Archaeological,1,311,10025,48,24,17,158,5,51,194,41,2
x01_14,Xochitecatl,Archaeological,1,367,8973,54,22,17,166,4,52,194,40,2
x01_15,Xochitecatl,Archaeological,1,316,8064,47,18,12,154,3,44,181,38,2
x01_16,Xochitecatl,Archaeological,1,400,8370,56,24,16,155,4,44,187,41,2
x01_17,Xochitecatl,Archaeological,1,212,9403,59,23,14,175,5,50,203,45,2
x01_18,Xochitecatl,Archaeological,1,444,10267,90,29,21,184,4,54,220,45,2
x01_20,Xochitecatl,Archaeological,1,302,8926,55,25,19,157,3,47,188,40,2
x01_22,Xochitecatl,Archaeological,1,449,10479,70,30,18,189,5,52,221,47,2
X01_26,Xochitecatl,Archaeological,1,361,8770,63,21,16,168,4,45,204,41,2
X01_27,Xochitecatl,Archaeological,1,371,8061,51,21,14,155,5,48,190,41,2
X01_28,Xochitecatl,Archaeological,1,340,9067,60,26,17,165,3,44,195,37,2
X01_29,Xochitecatl,Archaeological,1,419,10211,67,27,15,183,5,54,219,47,2
X01_30,Xochitecatl,Archaeological,1,437,9117,58,29,11,163,5,50,204,42,2
X01_31,Xochitecatl,Archaeological,1,349,8305,61,23,18,157,4,48,193,37,2
X01_32,Xochitecatl,Archaeological,1,298,9093,55,28,14,173,3,48,209,45,2
X01_33,Xochitecatl,Archaeological,1,306,8706,55,30,15,166,4,51,199,43,2
X01_34,Xochitecatl,Archaeological,1,385,8884,54,33,16,175,2,49,214,44,2
X01_35,Xochitecatl,Archaeological,1,336,9822,72,29,16,182,3,49,220,43,2
X01_43,Xochitecatl,Archaeological,1,260,8476,55,23,16,167,3,51,199,41,2
X01_45,Xochitecatl,Archaeological,1,334,9869,59,26,19,197,5,53,218,43,2
X01_48,Xochitecatl,Archaeological,1,342,7997,48,19,18,153,5,46,194,37,2
